midiName=midi\¤T½ü¨®_¤£¸Ô.mid	songName=¤T½ü¨®_¤£¸Ô	language=	singer=	sex= 	album= 	start=0	size=64	refrain= 
midiName=midi\¥@¤W¥u¦³¶ý¶ý¦n_¤£¸Ô.mid	songName=¥@¤W¥u¦³¶ý¶ý¦n_¤£¸Ô	language=	singer=	sex= 	album= 	start=65	size=66	refrain= 
midiName=midi\­Û´°ÅK¾ô«±¤U¨Ó_¤£¸Ô.mid	songName=­Û´°ÅK¾ô«±¤U¨Ó_¤£¸Ô	language=	singer=	sex= 	album= 	start=132	size=50	refrain= 
midiName=midi\¨â°¦¦Ñªê_¤£¸Ô.mid	songName=¨â°¦¦Ñªê_¤£¸Ô	language=	singer=	sex= 	album= 	start=183	size=70	refrain= 
midiName=midi\¤Q­Ó¦L²Ä¦w¤H_¤£¸Ô.mid	songName=¤Q­Ó¦L²Ä¦w¤H_¤£¸Ô	language=	singer=	sex= 	album= 	start=254	size=86	refrain= 
midiName=midi\¥u­n§Úªø¤j_¤£¸Ô.mid	songName=¥u­n§Úªø¤j_¤£¸Ô	language=	singer=	sex= 	album= 	start=341	size=100	refrain= 
midiName=midi\³á¡AÄ¬¬À®R_¤£¸Ô.mid	songName=³á¡AÄ¬¬À®R_¤£¸Ô	language=	singer=	sex= 	album= 	start=442	size=60	refrain= 
midiName=midi\¤p¬P¬P_¤£¸Ô.mid	songName=¤p¬P¬P_¤£¸Ô	language=	singer=	sex= 	album= 	start=503	size=84	refrain= 
midiName=midi\¤p¤òÆj_¤£¸Ô.mid	songName=¤p¤òÆj_¤£¸Ô	language=	singer=	sex= 	album= 	start=588	size=116	refrain= 
midiName=midi\¤p¯ù³ý_¤£¸Ô.mid	songName=¤p¯ù³ý_¤£¸Ô	language=	singer=	sex= 	album= 	start=705	size=56	refrain= 
midiName=midi\Ãi´kÂÎ_¤£¸Ô.mid	songName=Ãi´kÂÎ_¤£¸Ô	language=	singer=	sex= 	album= 	start=762	size=134	refrain= 
