ideology,stance
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
