self_male,partner_female
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,brown
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
blue,green
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,blue
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,brown
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
brown,green
green,blue
green,blue
green,blue
green,blue
green,blue
green,blue
green,blue
green,blue
green,blue
green,blue
green,blue
green,brown
green,brown
green,brown
green,brown
green,brown
green,brown
green,brown
green,brown
green,brown
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
green,green
