party_or_ideology,response
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
