answer	party affiliation
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Republican
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
