intervene	scenario
yes	provocative
yes	provocative
yes	provocative
yes	provocative
yes	provocative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
yes	conservative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	provocative
no	conservative
no	conservative
no	conservative
no	conservative
no	conservative
no	conservative
no	conservative
no	conservative
no	conservative
no	conservative
