result	group
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	trmt
yawn	ctrl
yawn	ctrl
yawn	ctrl
yawn	ctrl
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	trmt
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
not yawn	ctrl
