value	color	suit	face
2	red	Heart	FALSE
3	red	Heart	FALSE
4	red	Heart	FALSE
5	red	Heart	FALSE
6	red	Heart	FALSE
7	red	Heart	FALSE
8	red	Heart	FALSE
9	red	Heart	FALSE
10	red	Heart	FALSE
J	red	Heart	TRUE
Q	red	Heart	TRUE
K	red	Heart	TRUE
A	red	Heart	TRUE
2	red	Diamond	FALSE
3	red	Diamond	FALSE
4	red	Diamond	FALSE
5	red	Diamond	FALSE
6	red	Diamond	FALSE
7	red	Diamond	FALSE
8	red	Diamond	FALSE
9	red	Diamond	FALSE
10	red	Diamond	FALSE
J	red	Diamond	TRUE
Q	red	Diamond	TRUE
K	red	Diamond	TRUE
A	red	Diamond	TRUE
2	black	Spade	FALSE
3	black	Spade	FALSE
4	black	Spade	FALSE
5	black	Spade	FALSE
6	black	Spade	FALSE
7	black	Spade	FALSE
8	black	Spade	FALSE
9	black	Spade	FALSE
10	black	Spade	FALSE
J	black	Spade	TRUE
Q	black	Spade	TRUE
K	black	Spade	TRUE
A	black	Spade	TRUE
2	black	Club	FALSE
3	black	Club	FALSE
4	black	Club	FALSE
5	black	Club	FALSE
6	black	Club	FALSE
7	black	Club	FALSE
8	black	Club	FALSE
9	black	Club	FALSE
10	black	Club	FALSE
J	black	Club	TRUE
Q	black	Club	TRUE
K	black	Club	TRUE
A	black	Club	TRUE
