height	num_of_adults
110.5	0
111.5	0
112.5	0
113.5	0
114.5	0
115.5	0
116.5	1
117.5	2
118.5	22
119.5	86
120.5	198
121.5	320
122.5	333
123.5	307
124.5	249
125.5	189
126.5	122
127.5	77
128.5	53
129.5	27
130.5	31
131.5	59
132.5	110
133.5	239
134.5	389
135.5	617
136.5	783
137.5	761
138.5	561
139.5	299
140.5	279
141.5	444
142.5	642
143.5	793
144.5	1021
145.5	1559
146.5	2694
147.5	4583
148.5	7809
149.5	12555
150.5	18513
151.5	25807
152.5	31836
153.5	37165
154.5	43103
155.5	52295
156.5	63706
157.5	73873
158.5	78792
159.5	82714
160.5	87336
161.5	90856
162.5	95661
163.5	98748
164.5	102373
165.5	104334
166.5	104168
167.5	104121
168.5	101797
169.5	99058
170.5	96310
171.5	92028
172.5	90079
173.5	88729
174.5	87558
175.5	87147
176.5	85003
177.5	82741
178.5	81659
179.5	80956
180.5	80446
181.5	77402
182.5	73541
183.5	65604
184.5	54553
185.5	45071
186.5	37652
187.5	31127
188.5	27010
189.5	22656
190.5	18741
191.5	15102
192.5	11760
193.5	9251
194.5	7249
195.5	5311
196.5	3705
197.5	2517
198.5	1630
199.5	1023
200.5	713
201.5	506
202.5	323
203.5	220
204.5	130
205.5	59
206.5	15
207.5	3
208.5	0
209.5	0
