company	outcome
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
current	pass
