gender	decision
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	promoted
male	not
male	not
male	not
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	promoted
female	not
female	not
female	not
female	not
female	not
female	not
female	not
female	not
female	not
female	not
