type	outcome
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
no new search	current
