time	age	gender	state
88.31	59	M	MD
100.67	32	M	VA
109.52	33	F	VA
87.11	52	M	PA
73.02	40	M	DC
70.12	42	F	MD
71.09	28	M	DC
128.51	32	F	DC
95.21	29	F	VA
97.34	30	M	VA
106.17	37	F	VA
95.71	29	M	NY
72.19	25	F	DC
113.97	30	F	DC
75.54	53	M	VA
55.31	28	M	MD
125.54	34	F	DC
105.91	31	F	VA
131.99	28	F	VA
97.24	30	F	DC
108.54	35	F	VA
101.32	29	F	MD
100.42	53	F	NY
101.64	42	F	VA
82.21	44	M	VA
85.37	42	M	VA
105.82	32	M	VA
108.87	52	F	MD
92.17	31	M	DC
102.94	38	M	VA
85.07	34	M	MD
106.54	20	F	DC
92.19	35	M	NJ
74.22	29	M	DC
120.19	29	F	NY
80.04	30	M	VA
99.67	23	F	DC
72.77	35	M	NY
86.11	39	M	MD
98.91	29	F	VA
100.07	49	M	MD
68.46	38	M	NC
63.27	41	M	VA
88.59	27	F	VA
77.47	32	M	DC
90.16	51	M	MD
70.09	30	M	DC
103.17	25	F	DC
98.16	37	M	VA
117.56	44	F	MD
141.94	26	F	IN
97.97	28	M	MI
113.37	27	F	VA
99.17	36	F	DC
77.86	49	M	MD
87.74	67	F	MD
84.96	34	F	VA
103.89	39	F	VA
132.14	31	F	MD
106.27	26	F	DC
131.84	33	F	NJ
89.12	44	F	MD
99.19	32	M	VA
102.17	37	M	VA
105.17	29	F	VA
117.02	28	F	LA
86.29	34	M	DC
114.06	36	M	DC
94.22	31	F	DC
95.12	28	F	DC
82.26	31	M	VA
93.14	36	M	VA
106.26	27	F	NY
93.94	26	M	VA
92.02	36	F	VA
84.92	33	M	VA
93.99	32	F	DC
101.51	54	F	VA
78.57	32	F	NJ
100.42	41	F	PA
91.92	37	F	VA
93.19	38	M	NJ
113.77	29	F	DC
81.37	26	F	VA
96.39	33	F	ME
101.26	42	F	VA
102.92	27	F	DC
75.82	57	M	MD
93.79	56	M	NY
94.46	26	M	VA
81.46	45	F	MD
88.09	23	M	VA
107.99	33	M	DC
98.72	35	M	VA
76.51	25	F	MD
90.47	35	F	VA
94.32	28	F	VA
96.19	32	F	DC
104.31	32	F	MD
89.49	26	M	DC
