#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
1	GRID-   1-R1C1			no value	AA407331 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA407331>		204508	106839	
2	GRID-   1-R1C2	coiled-coil domain containing 2	Homo sapiens cDNA FLJ13645 fis,  clone PLACE1011310, weakly similar to MYOSIN HEAVY CHAIN,  GIZZARD SMOOTH MUSCLE	RIKEN cDNA 1700029H06 gene	BG063259 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063259>	Ccdc2	24494	67694	
3	GRID-   1-R1C3	RIKEN cDNA 2610031L17 gene	Homo sapiens U5 snRNP-associated  102 kDa protein mRNA, complete cds	RIKEN cDNA 1190003A07 gene	AW538380 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW538380>	2610031L17Rik	7039	68879	
4	GRID-   1-R1C4	solute carrier family 35 (CMP-sialic acid transporter), member 1	C.griseus mRNA for CMP-sialic acid  transporter	solute carrier family 35 (CMP-sialic acid transporter), member 1	BG077242 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077242>	Slc35a1	22684	24060	
5	GRID-   1-R1C5	expressed sequence AI839920	Homo sapiens unknown precursor  RNA	expressed sequence AI839920	BG077569 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077569>	AI839920	41440	103836	
6	GRID-   1-R2C1	proteasome (prosome, macropain) subunit, beta type 1	Mus musculus proteasome  beta-subunit C5 (Psmb1) mRNA, allele B, complete cds	proteasome (prosome, macropain) subunit, beta type 1	BG064542 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064542>	Psmb1	42197	19170	
7	GRID-   1-R2C3	interferon alpha responsive gene	Mus musculus interferon alpha responsive  protein (15 kDa) (Ifrg15), mRNA	interferon alpha responsive gene, 15 kDa	BG078215 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078215>	Ifrg15	21761	64164	
8	GRID-   1-R2C4	RNA-binding region (RNP1, RRM) containing 2	Homo sapiens splicing factor (CC1.3)  (CC1.3), mRNA	RNA-binding region (RNP1, RRM) containing 2	BG065252 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065252>	Rnpc2	17307	170791	
9	GRID-   1-R2C5	Transcribed sequences		ESTs	BG065589 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065589>		172568	-	
10	GRID-   1-R3C1	15 days embryo male testis cDNA, RIKEN full-length enriched library, clone:8030410G23 product:unknown EST, full insert sequence		ESTs, Weakly similar to  zinc finger protein 288; POZ/zinc finger transcription factor ODA-8; POZ/zinc finger transcription factor [Mus musculus] [M.musculus]	C77465 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C77465>		27577	-	
11	GRID-   1-R3C2	Transcribed sequences		EST C78662	BG066268 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066268>		172905	30863	
12	GRID-   1-R3C4	Transcribed sequence with weak similarity to protein prf:1614337A (M.musculus) 1614337A formin [Mus musculus]		expressed sequence C79741	BG066525 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066525>		25056	97877	
13	GRID-   1-R3C5	SUMO/sentrin specific protease 6	Homo sapiens SUMO-1 specific  protease FKSG6 mRNA, complete cds	ESTs, Moderately similar to SUS1_HUMAN SUMO-1-specific protease 1 (Sentrin-specific protease SENP6) (Protease FKSG6) [H.sapiens]	BG080059 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080059>	Senp6	28232	215351	
14	GRID-   1-R4C1	tumor necrosis factor (ligand) superfamily, member 13b	Mus musculus B-cell activating  factor (Baff) mRNA, complete cds	tumor necrosis factor (ligand) superfamily, member 13b	BG067312 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067312>	Tnfsf13b	28835	24099	
15	GRID-   1-R4C3	Transcribed sequences		DNA segment, Chr 7, ERATO Doi 481, expressed	BG067675 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067675>		155155	52334	
16	GRID-   1-R4C4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	Homo sapiens SWI/SNF related, matrix  associated, actin dependent regulator of chromatin,  subfamily a, member 5 (SMARCA5), mRNA	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	BG068028 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068028>	Smarca5	133447	93762	
17	GRID-   1-R4C5	exportin 4	Mus musculus exportin 4  (Xpo4-pending), mRNA	exportin 4	AU022767 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU022767>	Xpo4	143753	57258	
18	GRID-   1-R5C1	NACHT, LRR and PYD containing protein 9b		ESTs, Weakly similar to RINI RAT RIBONUCLEASE INHIBITOR [R.norvegicus]	BG068754 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068754>	Nalp9b	26389	-	
19	GRID-   1-R5C2	RIKEN cDNA 2700049A03 gene	Homo sapiens KIAA0586 gene product  (KIAA0586), mRNA	RIKEN cDNA 2700049A03 gene	BG082144 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082144>	2700049A03Rik	12248	76967	
20	GRID-   1-R5C3	DNA segment, Chr 2, ERATO Doi 750, expressed	Homo sapiens TRAF4 associated  factor 1 mRNA, partial cds	RIKEN cDNA 1700025D04 gene	BG082508 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082508>	D2Ertd750e	11516	51944	
21	GRID-   1-R5C4			expressed sequence AU021001	BG069865 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069865>		173453	99801	
22	GRID-   1-R5C5	RIKEN cDNA 2310032D16 gene	Homo sapiens mRNA for KIAA1434  protein, partial cds	RIKEN cDNA 2310032D16 gene	BG083143 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083143>	2310032D16Rik	28697	74182	
23	GRID-   2-R1C1	RIKEN cDNA 9430023L20 gene	Homo sapiens hypothetical protein  FLJ11773 (FLJ11773), mRNA	RIKEN cDNA 9430023L20 gene	BG063015 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063015>	9430023L20Rik	89268	68118	
24	GRID-   2-R1C2	RIKEN cDNA 4931406I20 gene	Homo sapiens hypothetical protein  FLJ10597 (FLJ10597), mRNA	RIKEN cDNA 4931406I20 gene	BG076727 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076727>	4931406I20Rik	28286	66743	
25	GRID-   2-R1C3	bone morphogenetic protein 1	Mus musculus bone morphogenetic  protein (Bmp-1) mRNA, complete cds	bone morphogenetic protein 1	BG076952 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076952>	Bmp1	27757	12153	
26	GRID-   2-R1C4	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor		expressed sequence AW539625	BG063899 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063899>	Taf3	86343	99383	
27	GRID-   2-R1C5			no value	BG064227 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064227>		no value	-	
28	GRID-   2-R2C1	apical protein, Xenopus laevis-like		ESTs, Moderately similar to APXL_HUMAN APICAL-LIKE PROTEIN [H.sapiens]	AW545127 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW545127>	Apxl	40796	-	
29	GRID-   2-R2C3	ATPase, Na+/K+ transporting, alpha 1 polypeptide	Homo sapiens mRNA for Na,K-ATPase  alpha-subunit, complete cds	no value	AW536333 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW536333>	Atp1a1	196547	229653	
30	GRID-   2-R2C4	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	Mus musculus natural resistance  associated macrophage protein-2 (Nramp2) mRNA, C-terminal  exon alternative splice variant, complete cds	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	BG065264 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065264>	Slc11a2	1304	18174	
31	GRID-   2-R2C5	leucine zipper domain protein	Homo sapiens cDNA: FLJ22386  fis, clone HRC07619	RIKEN cDNA 0610011C19 gene	BG078875 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078875>	Lzf	27792	66049	
32	GRID-   2-R3C1	kinesin family member 2C	Homo sapiens kinesin-like 6 (mitotic  centromere-associated kinesin) (KNSL6), mRNA	RIKEN cDNA 4930402F02 gene	BG079207 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079207>	Kif2c	27828	73804	
33	GRID-   2-R3C2	cell division cycle 25 homolog A (S. cerevisiae)	Mus musculus cell division cycle 25  homolog A (S. cerevisiae) (Cdc25a), mRNA	cell division cycle 25 homolog A (S. cerevisiae)	BG066279 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066279>	Cdc25a	29800	12530	
34	GRID-   2-R3C4	Transcribed sequences		expressed sequence C79777	BG066537 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066537>		25049	97536	
35	GRID-   2-R3C5	15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930012C18 product:unknown EST, full insert sequence		DNA segment, Chr 1, ERATO Doi 347, expressed	BG066969 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066969>		132845	52313	
36	GRID-   2-R4C1			expressed sequence C85922	C85922 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C85922>		201054	97259	
37	GRID-   2-R4C3	13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030427F01 product:unknown EST, full insert sequence		expressed sequence C87132	BG067687 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067687>		180006	97411	
38	GRID-   2-R4C4			ESTs	BG068040 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068040>		178906	-	
39	GRID-   2-R4C5	cDNA sequence BC042775		RIKEN cDNA 4833412E22 gene	BG068402 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068402>	BC042775	42006	75376	
40	GRID-   2-R5C1	oocyte specific homeobox 1		RIKEN cDNA 7420700M11 gene	BG068766 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068766>	Obox1	26391	71468	
41	GRID-   2-R5C2			ESTs, Weakly similar to JAK3 MOUSE TYROSINE-PROTEIN KINASE JAK3 [M.musculus]	BG069132 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069132>		143959	-	
42	GRID-   2-R5C3	11 days embryo head cDNA, RIKEN full-length enriched library, clone:6230417E17 product:unknown EST, full insert sequence		expressed sequence C80731	BG069504 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069504>		25086	97388	
43	GRID-   2-R5C4	expressed sequence AU021034		expressed sequence AU021034	BG069877 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069877>	AU021034	127107	105599	
44	GRID-   2-R5C5	casein kinase 1, alpha 1	M.musculus mRNA for casein kinase  I-alpha	casein kinase 1, alpha 1	BG083155 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083155>	Csnk1a1	43737	93687	
45	GRID-   3-R1C1	secretin	Mus musculus secretin (Sct), mRNA	secretin	BG062929 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG062929>	Sct	4723	20287	
46	GRID-   3-R1C2			no value	BG063260 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063260>		no value	-	
47	GRID-   3-R1C3	expressed sequence AL024210	Homo sapiens hypothetical protein  FLJ10913 (FLJ10913), mRNA	expressed sequence AL024210	BG076941 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076941>	AL024210	19006	104923	
48	GRID-   3-R1C4	actin related protein 2/3 complex, subunit 4		ESTs	AW539588 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW539588>	Arpc4	110259	-	
49	GRID-   3-R1C5	ornithine decarboxylase antizyme 2	Mus musculus ornithine decarboxylase  antizyme 2 (Oaz2), mRNA	ornithine decarboxylase antizyme 2	BG077570 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077570>	Oaz2	675	18247	
50	GRID-   3-R2C1	programmed cell death 6	Mus musculus programmed cell death 6  (Pdcd6), mRNA	programmed cell death 6	BG077957 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077957>	Pdcd6	24254	18570	
51	GRID-   3-R2C3	cDNA sequence BC003940	Homo sapiens cDNA FLJ20845 fis,  clone ADKA01901	phosphotyrosyl phosphatase activator	BG078216 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078216>	BC003940	23826	192173	
52	GRID-   3-R2C4	cytoplasmic FMR1 interacting protein 1	Mus musculus selective hybridizing clone  (Shyc), mRNA	selective hybridizing clone	BG065253 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065253>	Cyfip1	12912	20430	
53	GRID-   3-R2C5	RIKEN cDNA 4933431N12 gene		no value	C76116 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C76116>	4933431N12Rik	no value	-	
54	GRID-   3-R3C1	lanosterol synthase	Rattus norvegicus oxidosqualene  cyclase mRNA, complete cds	RIKEN cDNA 2810025N20 gene	BG079196 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079196>	Lss	55075	216120	
55	GRID-   3-R3C2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	Homo sapiens NADH dehydrogenase  (ubiquinone) 1 alpha subcomplex, 10 (42kD) (NDUFA10),  mRNA	RIKEN cDNA 2900053E13 gene	BG079485 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079485>	Ndufa10	28293	67273	
56	GRID-   3-R3C4			expressed sequence C79743	BG066526 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066526>		172795	97075	
57	GRID-   3-R3C5		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG066960 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066960>		no value	-	
58	GRID-   3-R4C1	RIKEN cDNA 2610311M19 gene		no value	C85897 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C85897>	2610311M19Rik	46776	105536	
59	GRID-   3-R4C3	Transcribed sequences		expressed sequence C87102	BG067676 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067676>		25465	97327	
60	GRID-   3-R4C4	Transcribed sequences		expressed sequence AU021745	BG068029 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068029>		173474	105601	
61	GRID-   3-R4C5	bromodomain, testis-specific	Homo sapiens bromodomain,  testis-specific (BRDT), mRNA	female sterile homeotic-related gene 3	BG068392 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068392>	Brdt	24536	114642	
62	GRID-   3-R5C1	pam, highwire, rpm 1	Homo sapiens similar to KIAA0916 protein  (H. sapiens) (LOC63373), mRNA	expressed sequence AW107953	BG068755 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068755>	Phr1	24744	105658	
63	GRID-   3-R5C2	citrate synthase		citrate synthase	BG069122 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069122>	Cs	43822	12974	
64	GRID-   3-R5C3			ESTs	BG069405 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069405>		173411	-	
65	GRID-   3-R5C4	eukaryotic translation initiation factor 4A2	Mus musculus eukaryotic translation  initiation factor 4A2 (Eif4a2), mRNA	eukaryotic translation initiation factor 4A2	BG069866 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069866>	Eif4a2	16323	13682	
66	GRID-   3-R5C5	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		DNA segment, Chr 1, ERATO Doi 646, expressed	BG070219 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070219>		103952	52383	
67	GRID-   4-R1C1	ROD1 regulator of differentiation 1 (S. pombe)	Homo sapiens cDNA FLJ10823 fis,  clone NT2RP4001080, highly similar to Homo sapiens mRNA  for Rod1	expressed sequence AW107884	BG063016 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063016>	Rod1	21556	230257	
